N/A,N/A,N/A,N/A,N/A,N/A,LESS_GREATER,0x43
ARROW_UP,0x4D,N/A,N/A,N/A,N/A,N/A,N/A
ARROW_LEFT,0x46,N/A,N/A,N/A,N/A,N/A,N/A
ARROW_RIGHT,0x42,N/A,N/A,N/A,N/A,N/A,N/A
ARROW_DOWN,0x48,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
